GroupID,Character,Radical,Phonetic,Dazidian,Shuowen,Shuowen_clean,Dazidian_clean,Combined
56.0,訄,言部,九,,迫也。,迫也,,迫也
57.0,仍,人部,乃,,因也。,因也,,因也
57.0,䚮,言部,乃,,厚也。,厚也,,厚也
58.0,仜,人部,工,,大腹也。,大腹也,,大腹也
58.0,訌,言部,工,,䜋也。,䜋也,,䜋也
59.0,仠,人部,干,,止也。,止也,,止也
59.0,訐,言部,干,,面相厈罪吿訐也。,面相厈罪吿訐也,,面相厈罪吿訐也
60.0,儀,人部,義,,度也。,度也,,度也
60.0,議,言部,義,,語也。,語也,,語也
61.0,仞,人部,刃,,伸臂一尋八尺。,伸臂一尋八尺,,伸臂一尋八尺
61.0,訒,言部,刃,,頓也。,頓也,,頓也
62.0,付,人部,寸,,予也。,予也,,予也
62.0,討,言部,寸,,治也。,治也,,治也
63.0,佗,人部,它,,負何也。,負何也,,負何也
63.0,詑,言部,它,,變佗爲他，用爲彼之偁。,變佗爲他，用爲彼之偁,,變佗爲他，用爲彼之偁
64.0,仚,人部,山,,人在山上皃。,人在山上皃,,人在山上皃
64.0,訕,言部,山,,謗也。,謗也,,謗也
65.0,仡,人部,乞,,勇壯也。,勇壯也,,勇壯也
65.0,訖,言部,乞,,止也。,止也,,止也
66.0,傴,人部,區,,僂也。,僂也,,僂也
66.0,謳,言部,區,,齊歌也。,齊歌也,,齊歌也
67.0,伀,人部,公,,志及衆也。,志及衆也,,志及衆也
67.0,訟,言部,公,,爭也。,爭也,,爭也
68.0,仿,人部,方,,仿佛，逗。,仿佛，逗,,仿佛，逗
68.0,訪,言部,方,,汎謀曰訪。,汎謀曰訪,,汎謀曰訪
69.0,優,人部,憂,,饒也。,饒也,,饒也
69.0,訧,言部,尤,,罪也。,罪也,,罪也
70.0,偉,人部,韋,,奇也。,奇也,,奇也
70.0,諱,言部,韋,,忌也。,忌也,,忌也
71.0,伿,人部,只,,惰也。,惰也,,惰也
71.0,識,言部,只,,常也。,常也,,常也
72.0,何,人部,可,,儋也。,儋也,,儋也
72.0,訶,言部,可,,大言而怒也。,大言而怒也,,大言而怒也
73.0,伹,人部,且,,拙也。,拙也,,拙也
73.0,詛,言部,且,,詶也。,詶也,,詶也
74.0,佁,人部,台,,癡皃。,癡皃,,癡皃
74.0,詒,言部,台,,相欺詒也。,相欺詒也,,相欺詒也
75.0,佚,人部,失,,佚民也。,佚民也,,佚民也
75.0,詄,言部,失,,忘也。,忘也,,忘也
76.0,低,人部,氐,,下也。,下也,,下也
76.0,詆,言部,氐,,訶也。,訶也,,訶也
77.0,佋,人部,召,,廟佋穆。,廟佋穆,,廟佋穆
77.0,詔,言部,召,,告也。,告也,,告也
78.0,作,人部,乍,,起也。,起也,,起也
78.0,詐,言部,乍,,欺也。,欺也,,欺也
79.0,佮,人部,合,,合也。,合也,,合也
79.0,詥,言部,合,,諧也。,諧也,,諧也
80.0,侁,人部,先,,行皃。,行皃,,行皃
80.0,詵,言部,先,,致言也。,致言也,,致言也
81.0,佳,人部,圭,,善也。,善也,,善也
81.0,詿,言部,圭,,誤也。,誤也,,誤也
82.0,侙,人部,式,,惕也。,惕也,,惕也
82.0,試,言部,式,,用也。,用也,,用也
