GroupID,Phonetic,Pair,Char_From,Char_To,Radical_From,Radical_To,Direction,Distance,Angle,dx,dy,Shift_Level
108.0,卒,倅(人部) → 誶(言部),倅,誶,人部,言部,人部 → 言部,0.042446907684853805,155.59957104390065,-0.038655574000000005,0.017535294999999992,微弱变动
107.0,戔,俴(人部) → 諓(言部),俴,諓,人部,言部,人部 → 言部,0.042541915383228296,102.6870233589474,-0.009343279,0.0415032252,微弱变动
127.0,幾,僟(人部) → 譏(言部),僟,譏,人部,言部,人部 → 言部,0.052524526246112535,113.0545889343674,-0.020569023,0.048329506,微弱变动
76.0,氐,低(人部) → 詆(言部),低,詆,人部,言部,人部 → 言部,0.053252765244961656,-61.83945596702678,0.025132309999999998,-0.046949164,微弱变动
81.0,圭,佳(人部) → 詿(言部),佳,詿,人部,言部,人部 → 言部,0.05964165034087897,-3.5095018153441377,0.05952980200000001,-0.0036509079999999944,微弱变动
98.0,我,俄(人部) → 誐(言部),俄,誐,人部,言部,人部 → 言部,0.060060837063337286,64.50949516074029,0.0258478727,0.054214312,微弱变动
82.0,式,侙(人部) → 試(言部),侙,試,人部,言部,人部 → 言部,0.06061688864877611,179.4149360587345,-0.0606137284,0.0006189659999999986,微弱变动
84.0,吉,佶(人部) → 詰(言部),佶,詰,人部,言部,人部 → 言部,0.06446770739019356,81.1570326298872,0.009910420000000003,0.063701404,微弱变动
131.0,辟,僻(人部) → 譬(言部),僻,譬,人部,言部,人部 → 言部,0.0659077183424173,156.43655533191858,-0.060412199,0.026347553000000003,微弱变动
83.0,寺,侍(人部) → 詩(言部),侍,詩,人部,言部,人部 → 言部,0.06840145993794472,-69.03677392413168,0.024471899999999998,-0.063873984,微弱变动
129.0,僉,儉(人部) → 譣(言部),儉,譣,人部,言部,人部 → 言部,0.07039222840504239,152.6937658858705,-0.062548234,0.03229217000000001,微弱变动
55.0,十,什(人部) → 計(言部),什,計,人部,言部,人部 → 言部,0.07096756735918387,170.8352918586883,-0.070061635,0.011303226000000006,微弱变动
89.0,多,侈(人部) → 誃(言部),侈,誃,人部,言部,人部 → 言部,0.07561294018600719,89.36019860749391,0.0008443250000000069,0.075608226,微弱变动
135.0,畾,儡(人部) → 讄(言部),儡,讄,人部,言部,人部 → 言部,0.08272625237772671,138.98247039218424,-0.0624176874,0.054292403999999996,微弱变动
128.0,睘,儇(人部) → 譞(言部),儇,譞,人部,言部,人部 → 言部,0.08660801115786668,-65.77591782432549,0.035535818999999996,-0.07898198,微弱变动
94.0,吳,俁(人部) → 誤(言部),俁,誤,人部,言部,人部 → 言部,0.09259760148153572,33.19293602672791,0.077488619,0.050693487999999995,微弱变动
79.0,合,佮(人部) → 詥(言部),佮,詥,人部,言部,人部 → 言部,0.09687561268515789,-30.12374509325777,0.083791932,-0.04861889,微弱变动
99.0,兒,倪(人部) → 誽(言部),倪,誽,人部,言部,人部 → 言部,0.09837203164891893,-58.625722364452415,0.05121507535,-0.08398852700000001,微弱变动
71.0,只,伿(人部) → 識(言部),伿,識,人部,言部,人部 → 言部,0.09879362671550318,147.55020263166335,-0.083368178,0.05300875,微弱变动
85.0,旬,侚(人部) → 詢(言部),侚,詢,人部,言部,人部 → 言部,0.09934502844557885,-155.52272734496245,-0.090416463,-0.04116185000000001,微弱变动
78.0,乍,作(人部) → 詐(言部),作,詐,人部,言部,人部 → 言部,0.10002590913387999,-11.087728672002159,0.09815881300000001,-0.019236162,微弱变动
91.0,兆,佻(人部) → 誂(言部),佻,誂,人部,言部,人部 → 言部,0.10432549472301399,-51.536373807065786,0.064892302,-0.081687196,微弱变动
60.0,義,儀(人部) → 議(言部),儀,議,人部,言部,人部 → 言部,0.10834187552330864,165.7595753113069,-0.10501275000000002,0.026651159999999993,微弱变动
132.0,義,儀(人部) → 議(言部),儀,議,人部,言部,人部 → 言部,0.10834187552330864,165.7595753113069,-0.10501275000000002,0.026651159999999993,微弱变动
113.0,兼,傔(人部) → 謙(言部),傔,謙,人部,言部,人部 → 言部,0.11518907388207271,17.66019425253117,0.10976049800000001,0.03494504,微弱变动
96.0,甫,俌(人部) → 誧(言部),俌,誧,人部,言部,人部 → 言部,0.1161702463389072,-91.43667012182985,-0.0029126199999999908,-0.11613372799999999,微弱变动
124.0,閒,僩(人部) → 譋(言部),僩,譋,人部,言部,人部 → 言部,0.11663085230878098,126.91846936025371,-0.070057584,0.093245325,微弱变动
97.0,言,信(人部) → 誩(言部),信,誩,人部,言部,人部 → 言部,0.11712265014440375,-140.74952548117474,-0.09069830499999999,-0.07410487599999999,微弱变动
86.0,舌,佸(人部) → 話(言部),佸,話,人部,言部,人部 → 言部,0.1195413602796507,-24.885607387499952,0.108441915,-0.050303955000000004,微弱变动
109.0,扁,偏(人部) → 諞(言部),偏,諞,人部,言部,人部 → 言部,0.12319636644451654,-26.253599050867123,0.11048804,-0.0544953,微弱变动
136.0,賣,儥(人部) → 讀(言部),儥,讀,人部,言部,人部 → 言部,0.1271563397153045,-132.9665019756874,-0.08666603,-0.09304694499999999,微弱变动
64.0,山,仚(人部) → 訕(言部),仚,訕,人部,言部,人部 → 言部,0.12717168080379326,101.29339990932588,-0.024904435,0.124709284,微弱变动
106.0,侖,倫(人部) → 論(言部),倫,論,人部,言部,人部 → 言部,0.13118296988639727,106.38168250183386,-0.036998156000000004,0.125857491,微弱变动
69.0,憂,優(人部) → 訧(言部),優,訧,人部,言部,人部 → 言部,0.13357500563064373,46.31875559831018,0.092253005,0.0966005445,微弱变动
